ID,Nombre,Categoria,LabID,Cantidad,Descripcion
1,Osciloscopio Tektronix TBS1104C,Electrónica,3,6,Osciloscopio digital 4 canales 100MHz
2,Osciloscopio Rigol DS1054Z,Electrónica,3,4,Osciloscopio digital 4 canales 50MHz
3,Multímetro Fluke 117,Electrónica,,12,Multímetro digital True RMS
4,Multímetro Fluke 87V,Electrónica,,6,Multímetro industrial de alta precisión
5,Fuente de poder DC regulable,Electrónica,3,8,Fuente 0-30V 0-5A doble salida
6,Fuente de poder DC triple,Electrónica,3,4,Fuente triple salida 30V/5A + 5V fija
7,Generador de funciones,Electrónica,3,5,Generador hasta 20MHz seno/cuadrada/triangular
8,Generador de señales RF,Electrónica,3,2,Generador RF hasta 3GHz
9,Analizador de espectros,Electrónica,3,2,Analizador 9kHz-3GHz
10,Protoboard grande,Electrónica,,20,Protoboard 830 puntos
11,Protoboard pequeña,Electrónica,,30,Protoboard 400 puntos
12,Kit de resistencias surtidas,Electrónica,,15,Kit 1/4W valores E24
13,Kit de capacitores surtidos,Electrónica,,15,Kit cerámicos y electrolíticos
14,Kit de LEDs surtidos,Electrónica,,15,LEDs 3mm y 5mm varios colores
15,Kit de transistores,Electrónica,,10,BJT y MOSFET comunes
16,Arduino Uno R3,Electrónica,,15,Placa de desarrollo con cable USB
17,Arduino Mega 2560,Electrónica,,8,Placa de desarrollo 54 pines digitales
18,Raspberry Pi 4 Model B,Informática,,10,SBC 4GB RAM con fuente y case
19,ESP32 DevKit,Electrónica,,12,Módulo WiFi+BT con pines
20,Cables jumper M-M,Electrónica,,25,Pack de 40 cables 20cm
21,Cables jumper M-F,Electrónica,,25,Pack de 40 cables 20cm
22,Cables jumper F-F,Electrónica,,25,Pack de 40 cables 20cm
23,Pinza amperimétrica,Electrónica,,6,Medición AC/DC hasta 400A
24,Soldador de estaño 60W,Electrónica,,10,Soldador tipo lápiz con soporte
25,Estación de soldadura,Electrónica,3,5,Estación regulable con display digital
26,Estaño 60/40 0.8mm,Electrónica,,15,Rollo 100g con flux
27,Flux para soldar,Electrónica,,10,Pasta flux en jeringa
28,Desoldador manual,Electrónica,,10,Bomba de succión para desoldar
29,Lupa con luz LED,Electrónica,,8,Lupa de mesa con brazo articulado
30,Láser He-Ne,Óptica,1,4,Láser helio-neón 632.8nm 5mW
31,Láser diodo rojo,Óptica,,8,Láser diodo 650nm ajustable
32,Láser diodo verde,Óptica,,6,Láser diodo 532nm
33,Banco óptico 1m,Óptica,1,6,Riel óptico con portacomponentes
34,Banco óptico 1.5m,Óptica,1,3,Riel óptico largo con portacomponentes
35,Lente convergente f=100mm,Óptica,1,8,Lente biconvexa diámetro 50mm
36,Lente convergente f=200mm,Óptica,1,8,Lente biconvexa diámetro 50mm
37,Lente convergente f=50mm,Óptica,1,6,Lente biconvexa diámetro 50mm
38,Lente divergente f=-100mm,Óptica,1,6,Lente bicóncava diámetro 50mm
39,Lente divergente f=-200mm,Óptica,1,6,Lente bicóncava diámetro 50mm
40,Espejo plano,Óptica,1,10,Espejo de primera superficie 50x50mm
41,Espejo cóncavo R=200mm,Óptica,1,4,Espejo esférico cóncavo
42,Espejo convexo R=200mm,Óptica,1,4,Espejo esférico convexo
43,Prisma equilátero,Óptica,1,6,Prisma de vidrio crown 60°
44,Red de difracción 300 líneas/mm,Óptica,1,6,Red de transmisión montada
45,Red de difracción 600 líneas/mm,Óptica,1,4,Red de transmisión montada
46,Polarizador lineal,Óptica,1,8,Lámina polarizadora montada
47,Rendija simple ajustable,Óptica,1,6,Rendija con micrómetro
48,Rendija doble (Young),Óptica,1,4,Doble rendija separación variable
49,Pantalla blanca,Óptica,1,6,Pantalla de proyección 20x20cm
50,Fotómetro digital,Óptica,1,4,Medidor de intensidad luminosa
51,Espectrómetro USB,Óptica,1,3,Espectrómetro fibra óptica 350-1000nm
52,Balanza analítica 0.1mg,Medición,2,4,Balanza de precisión con campana
53,Balanza granataria,Medición,,8,Balanza 0.1g capacidad 2000g
54,Termómetro digital,Medición,,15,Termómetro -50 a 300°C con sonda
